iter	Passed	Remaining
435	1290	1669
436	1292	1664
437	1293	1660
438	1295	1655
439	1297	1650
440	1298	1645
441	1299	1640
442	1300	1635
443	1302	1630
444	1303	1625
445	1305	1621
446	1307	1617
447	1308	1612
448	1311	1609
449	1313	1605
450	1314	1600
451	1316	1595
452	1317	1591
453	1319	1586
454	1320	1582
455	1322	1577
456	1324	1573
457	1326	1569
458	1327	1564
459	1328	1559
460	1329	1554
461	1331	1550
462	1334	1547
463	1335	1543
464	1337	1538
465	1338	1534
466	1339	1529
467	1341	1524
468	1342	1520
469	1343	1515
470	1344	1510
471	1346	1506
472	1347	1501
473	1349	1497
474	1350	1492
475	1351	1488
476	1353	1483
477	1355	1480
478	1357	1476
479	1358	1471
480	1359	1467
481	1361	1462
482	1362	1458
483	1364	1454
484	1365	1449
485	1366	1445
486	1368	1441
487	1369	1437
488	1371	1433
489	1372	1428
490	1374	1424
491	1376	1420
492	1378	1417
493	1379	1413
494	1381	1408
495	1382	1404
496	1383	1400
497	1384	1395
498	1386	1391
499	1387	1387
500	1388	1383
501	1390	1379
502	1391	1375
503	1393	1370
504	1394	1366
505	1395	1362
506	1397	1358
507	1399	1355
508	1401	1352
509	1403	1348
510	1404	1344
511	1406	1340
512	1408	1336
513	1409	1332
514	1411	1329
515	1412	1324
516	1413	1320
517	1415	1316
518	1416	1312
519	1417	1308
520	1419	1304
521	1420	1301
522	1423	1297
523	1424	1294
524	1426	1290
525	1427	1286
526	1428	1282
527	1430	1278
528	1431	1274
529	1432	1270
530	1434	1266
531	1435	1262
532	1436	1258
533	1437	1254
534	1439	1250
535	1440	1246
536	1441	1242
537	1443	1239
538	1445	1236
539	1446	1232
540	1448	1228
541	1449	1224
542	1450	1221
543	1452	1217
544	1453	1213
545	1454	1209
546	1456	1205
547	1457	1202
548	1458	1198
549	1460	1194
550	1461	1191
551	1462	1187
552	1464	1183
553	1466	1180
554	1467	1177
555	1469	1173
556	1470	1169
557	1472	1166
558	1473	1162
559	1474	1158
560	1476	1155
561	1477	1151
562	1478	1147
563	1480	1144
564	1481	1140
565	1482	1136
566	1484	1133
567	1485	1129
568	1486	1126
569	1488	1123
570	1490	1120
571	1492	1116
572	1494	1113
573	1495	1110
574	1497	1106
575	1498	1103
576	1500	1099
577	1501	1096
578	1503	1092
579	1504	1089
580	1505	1085
581	1507	1082
582	1508	1078
583	1510	1075
584	1512	1072
585	1514	1070
586	1516	1066
587	1517	1063
588	1518	1059
589	1520	1056
590	1521	1053
591	1523	1049
592	1524	1046
593	1525	1042
594	1526	1039
595	1528	1035
596	1529	1032
597	1531	1029
598	1534	1027
599	1535	1023
600	1537	1020
601	1538	1017
602	1539	1013
603	1541	1010
604	1542	1007
605	1544	1004
606	1546	1001
607	1547	997
608	1548	994
609	1550	991
610	1551	987
611	1552	984
612	1554	981
613	1556	978
614	1557	975
615	1559	972
616	1560	968
617	1561	965
618	1563	962
619	1564	958
620	1565	955
621	1566	952
622	1568	949
623	1569	945
624	1570	942
625	1572	939
626	1573	936
627	1574	932
628	1576	929
629	1578	926
630	1579	923
631	1581	920
632	1582	917
633	1584	914
634	1585	911
635	1587	908
636	1588	905
637	1590	902
638	1591	899
639	1593	896
640	1595	893
641	1596	890
642	1598	887
643	1601	885
644	1602	882
645	1604	879
646	1605	876
647	1607	873
648	1608	870
649	1610	867
650	1611	863
651	1613	860
652	1614	857
653	1615	854
654	1616	851
655	1618	848
656	1619	845
657	1620	842
658	1623	839
659	1624	837
660	1626	834
661	1627	830
662	1628	827
663	1630	824
664	1631	821
665	1632	818
666	1634	815
667	1635	812
668	1636	809
669	1637	806
670	1638	803
671	1640	800
672	1642	797
673	1643	795
674	1645	792
675	1647	789
676	1648	786
677	1650	783
678	1651	780
679	1652	777
680	1654	774
681	1655	772
682	1657	769
683	1658	766
684	1659	763
685	1661	760
686	1662	757
687	1663	754
688	1664	751
689	1667	749
690	1669	746
691	1670	743
692	1671	740
693	1673	737
694	1674	734
695	1675	731
696	1677	729
697	1678	726
698	1679	723
699	1680	720
700	1682	717
701	1683	714
702	1684	711
703	1686	708
704	1687	706
705	1690	703
706	1691	701
707	1693	698
708	1694	695
709	1696	692
710	1697	689
711	1698	687
712	1700	684
713	1701	681
714	1702	678
715	1703	675
716	1705	673
717	1706	670
718	1707	667
719	1709	664
720	1710	661
721	1712	659
722	1714	656
723	1716	654
724	1717	651
725	1718	648
726	1720	646
727	1722	643
728	1723	640
729	1724	637
730	1726	635
731	1727	632
732	1729	629
733	1730	627
734	1732	624
735	1734	622
736	1736	619
737	1737	616
738	1739	614
739	1740	611
740	1741	608
741	1743	606
742	1744	603
743	1745	600
744	1746	597
745	1748	595
746	1749	592
747	1750	589
748	1752	587
749	1753	584
750	1755	581
751	1757	579
752	1759	577
753	1760	574
754	1761	571
755	1763	569
756	1764	566
757	1766	563
758	1767	561
759	1768	558
760	1770	555
761	1771	553
762	1772	550
763	1774	548
764	1775	545
765	1776	542
766	1780	540
767	1782	538
768	1783	535
769	1785	533
770	1786	530
771	1787	528
772	1789	525
773	1790	522
774	1792	520
775	1793	517
776	1794	515
777	1796	512
778	1797	510
779	1799	507
780	1801	505
781	1803	502
782	1805	500
783	1806	497
784	1808	495
785	1809	492
786	1811	490
787	1812	487
788	1813	485
789	1814	482
790	1816	479
791	1817	477
792	1818	474
793	1820	472
794	1821	469
795	1824	467
796	1826	465
797	1828	462
798	1829	460
799	1831	457
800	1832	455
801	1833	452
802	1834	450
803	1836	447
804	1837	445
805	1838	442
806	1840	440
807	1841	437
808	1842	435
809	1843	432
810	1845	430
811	1847	427
812	1849	425
813	1850	422
814	1851	420
815	1853	417
816	1854	415
817	1855	412
818	1857	410
819	1858	407
820	1859	405
821	1861	403
822	1862	400
823	1863	398
824	1865	395
825	1866	393
826	1868	390
827	1869	388
828	1871	385
829	1872	383
830	1873	381
831	1875	378
832	1876	376
833	1877	373
834	1879	371
835	1881	369
836	1882	366
837	1883	364
838	1884	361
839	1886	359
840	1887	356
841	1888	354
842	1890	352
843	1892	349
844	1894	347
845	1896	345
846	1897	342
847	1899	340
848	1900	338
849	1902	335
850	1903	333
851	1904	330
852	1905	328
853	1907	326
854	1908	323
855	1909	321
856	1911	318
857	1913	316
858	1915	314
859	1916	312
860	1917	309
861	1919	307
862	1920	304
863	1921	302
864	1923	300
865	1924	297
866	1925	295
867	1927	293
868	1928	290
869	1929	288
870	1931	286
871	1932	283
872	1933	281
873	1936	279
874	1937	276
875	1939	274
876	1940	272
877	1941	269
878	1943	267
879	1944	265
880	1945	262
881	1947	260
882	1948	258
883	1949	255
884	1951	253
885	1952	251
886	1954	249
887	1956	246
888	1958	244
889	1959	242
890	1961	239
891	1962	237
892	1963	235
893	1965	233
894	1966	230
895	1967	228
896	1969	226
897	1970	223
898	1971	221
899	1972	219
900	1974	216
901	1975	214
902	1976	212
903	1978	210
904	1981	207
905	1983	205
906	1984	203
907	1986	201
908	1987	198
909	1989	196
910	1990	194
911	1991	192
912	1993	189
913	1994	187
914	1996	185
915	1997	183
916	1998	180
917	1999	178
918	2001	176
919	2003	174
920	2005	172
921	2007	169
922	2008	167
923	2009	165
924	2011	163
925	2012	160
926	2014	158
927	2015	156
928	2017	154
929	2018	151
930	2020	149
931	2022	147
932	2027	145
933	2029	143
934	2031	141
935	2033	139
936	2035	136
937	2037	134
938	2039	132
939	2041	130
940	2042	128
941	2044	125
942	2049	123
943	2050	121
944	2052	119
945	2054	117
946	2056	115
947	2058	112
948	2060	110
949	2061	108
950	2063	106
951	2065	104
952	2068	102
953	2070	99
954	2073	97
955	2075	95
956	2079	93
957	2081	91
958	2083	89
959	2084	86
960	2086	84
961	2087	82
962	2091	80
963	2093	78
964	2095	75
965	2096	73
966	2098	71
967	2100	69
968	2101	67
969	2103	65
970	2104	62
971	2106	60
972	2107	58
973	2108	56
974	2110	54
975	2111	51
976	2113	49
977	2115	47
978	2116	45
979	2118	43
980	2119	41
981	2120	38
982	2121	36
983	2123	34
984	2124	32
985	2126	30
986	2127	28
987	2128	25
988	2129	23
989	2131	21
990	2132	19
991	2134	17
992	2136	15
993	2137	12
994	2139	10
995	2140	8
996	2141	6
997	2143	4
998	2144	2
999	2146	0
